

Reaction test

type	A+B+C

number	1000



max value	65536

unit	us



test	A	B	C

0	475	484	460

1	201	210	191

2	157	166	148

3	680	689	670

4	464	473	455

5	867	876	857

6	459	468	450

7	514	522	504

8	1049	1058	1039

9	498	507	488

10	323	332	313

11	171	180	162

12	834	843	825

13	573	629	564

14	1016	20	1007

15	863	918	853

16	1018	21	1008

17	921	992	912

18	728	799	719

19	834	905	825

20	904	913	895

21	675	684	665

22	406	415	396

23	737	746	727

24	539	548	530

25	101	110	91

26	711	720	702

27	733	742	723

28	599	608	590

29	504	513	494

30	636	645	627

31	622	631	613

32	1040	1049	1031

33	865	874	856

34	866	875	857

35	998	1007	988

36	743	752	733

37	855	864	846

38	777	786	768

39	545	554	535

40	905	914	896

41	599	608	590

42	993	1002	983

43	550	559	541

44	644	653	634

45	396	405	386

46	74	83	65

47	818	827	808

48	386	444	377

49	396	467	386

50	278	343	268

51	480	489	470

52	17	26	7

53	951	960	941

54	243	252	234

55	974	965	956

56	564	555	545

57	984	975	965

58	158	149	139

59	71	62	52

60	884	875	865

61	928	918	909

62	56	47	37

63	342	333	323

64	626	616	607

65	1058	1049	1039

66	316	307	297

67	1030	1021	1011

68	511	501	492

69	460	450	441

70	893	884	874

71	486	477	467

72	1022	1013	1003

73	647	638	628

74	923	913	904

75	181	171	119

76	932	922	849

77	491	481	408

78	1025	1015	942

79	917	907	835

80	708	698	636

81	791	782	773

82	299	290	281

83	414	405	395

84	455	446	436

85	661	652	642

86	1059	1068	1049

87	383	374	365

88	1009	1018	1000

89	467	458	448

90	573	564	554

91	214	204	195

92	324	315	305

93	76	67	57

94	521	512	502

95	695	685	676

96	974	965	955

97	272	263	253

98	808	799	789

99	409	399	390

100	758	748	739

101	426	417	407

102	845	836	826

103	210	201	191

104	275	265	256

105	369	360	350

106	312	303	293

107	454	445	435

108	431	422	412

109	916	906	897

110	489	479	470

111	444	435	425

112	509	500	490

113	54	44	35

114	526	516	507

115	794	785	775

116	842	833	823

117	806	797	788

118	661	652	642

119	727	717	708

120	786	777	767

121	731	721	712

122	490	481	472

123	1026	1016	1007

124	472	462	453

125	19	10	1057

126	403	394	385

127	52	42	33

128	1020	1011	1002

129	120	111	101

130	519	510	500

131	977	967	958

132	303	293	284

133	925	916	906

134	126	117	107

135	126	116	107

136	1064	1054	1045

137	191	181	171

138	709	699	690

139	535	525	465

140	332	322	250

141	297	287	214

142	329	319	246

143	486	476	404

144	180	170	97

145	770	760	689

146	625	615	544

147	804	748	739

148	346	275	266

149	251	180	171

150	584	514	504

151	149	78	69

152	496	425	416

153	140	73	63

154	304	295	285

155	584	575	566

156	574	565	555

157	648	639	629

158	597	588	579

159	979	969	960

160	127	118	108

161	46	36	27

162	703	693	684

163	245	236	227

164	69	60	50

165	409	399	390

166	1024	1015	1005

167	629	619	610

168	239	230	221

169	712	703	693

170	667	676	657

171	29	43	20

172	114	123	104

173	806	815	797

174	820	829	811

175	935	944	926

176	755	764	746

177	989	998	980

178	30	39	21

179	171	184	162

180	640	649	631

181	899	908	890

182	889	898	879

183	48	57	39

184	856	864	846

185	833	842	823

186	403	412	394

187	290	299	281

188	669	678	659

189	1007	1016	997

190	712	721	703

191	332	389	323

192	346	417	337

193	38	109	28

194	692	900	683

195	39	237	30

196	168	351	159

197	550	752	541

198	202	418	193

199	650	864	640

200	1012	172	1002

201	374	584	365

202	293	507	283

203	911	72	901

204	808	1020	798

205	191	409	182

206	869	33	859

207	821	1029	811

208	540	701	531

209	210	339	201

210	740	884	731

211	790	955	780

212	302	486	293

213	592	796	583

214	233	449	223

215	822	1031	812

216	300	500	291

217	981	115	971

218	703	880	693

219	18	186	8

220	78	238	68

221	765	920	756

222	527	653	518

223	965	10	956

224	416	487	407

225	574	633	564

226	1018	25	1009

227	423	494	414

228	364	435	355

229	323	394	313

230	192	263	183

231	165	236	155

232	236	307	227

233	687	758	678

234	370	435	361

235	466	475	457

236	728	737	719

237	92	101	82

238	943	952	934

239	603	612	593

240	598	607	589

241	538	546	528

242	339	348	330

243	941	950	931

244	998	1006	988

245	768	777	758

246	491	500	482

247	698	707	688

248	1032	1041	1022

249	835	844	826

250	344	353	334

251	71	80	61

252	351	360	342

253	109	118	100

254	1045	1054	1035

255	171	180	162

256	171	180	162

257	769	778	759

258	136	145	126

259	147	156	138

260	590	598	580

261	21	30	11

262	159	168	150

263	643	652	634

264	848	857	838

265	343	351	333

266	563	572	553

267	302	311	292

268	997	1006	987

269	481	490	472

270	180	189	170

271	98	107	88

272	639	648	630

273	118	127	109

274	941	950	931

275	185	194	175

276	937	946	928

277	251	260	242

278	691	700	682

279	891	900	881

280	34	43	24

281	1033	1042	1024

282	189	198	179

283	889	898	880

284	99	108	89

285	878	887	869

286	194	203	184

287	420	429	410

288	482	491	473

289	618	637	627

290	678	686	668

291	1051	1060	1042

292	985	994	976

293	495	504	486

294	595	604	585

295	1060	5	1050

296	621	630	612

297	238	247	228

298	492	501	482

299	831	822	812

300	550	540	531

301	216	207	197

302	605	596	586

303	190	181	171

304	893	884	875

305	860	850	841

306	301	292	283

307	269	260	251

308	853	844	835

309	306	297	287

310	455	446	436

311	721	730	658

312	944	954	872

313	1005	1015	937

314	891	900	881

315	1050	1059	1041

316	321	330	311

317	900	909	890

318	238	247	229

319	79	88	69

320	990	999	981

321	838	847	828

322	661	670	651

323	849	858	839

324	1014	1023	1005

325	693	701	683

326	906	915	897

327	606	615	597

328	855	864	846

329	413	422	403

330	606	615	596

331	198	207	189

332	286	295	277

333	56	65	46

334	408	417	398

335	495	504	485

336	775	783	765

337	493	502	483

338	440	449	431

339	4	14	1053

340	1032	1041	1023

341	1030	1039	1021

342	940	998	931

343	387	458	377

344	120	191	110

345	731	802	721

346	395	466	386

347	415	485	405

348	857	921	847

349	556	565	547

350	26	35	16

351	166	175	157

352	693	702	681

353	116	124	106

354	513	522	503

355	1047	1056	1037

356	802	810	792

357	262	271	253

358	473	482	463

359	158	167	148

360	456	465	447

361	510	519	501

362	943	952	933

363	437	446	427

364	427	436	417

365	975	984	965

366	375	384	365

367	1055	1064	1046

368	96	105	87

369	164	173	155

370	555	564	546

371	651	659	641

372	315	324	306

373	342	351	332

374	596	605	531

375	846	856	773

376	425	435	354

377	829	838	820

378	891	900	882

379	575	584	565

380	41	50	31

381	758	767	748

382	586	595	577

383	278	287	269

384	651	660	641

385	427	436	418

386	688	696	678

387	441	450	432

388	563	572	553

389	951	960	942

390	127	136	118

391	511	520	501

392	81	90	71

393	300	309	290

394	769	778	760

395	613	622	603

396	305	314	295

397	609	618	599

398	629	638	620

399	392	401	383

400	915	924	905

401	591	600	582

402	363	353	344

403	907	898	888

404	310	320	240

405	501	511	428

406	441	451	369

407	463	473	390

408	893	903	820

409	833	843	760

410	762	772	703

411	448	458	376

412	202	212	129

413	974	984	902

414	269	279	197

415	534	543	461

416	701	711	628

417	441	451	368

418	540	551	466

419	994	1004	932

420	340	349	331

421	973	982	964

422	1013	1022	1003

423	330	339	321

424	224	233	215

425	809	818	800

426	1047	1056	1037

427	256	265	246

428	727	736	718

429	705	714	696

430	612	621	602

431	915	924	905

432	204	213	194

433	46	55	36

434	809	818	799

435	1013	1022	1003

436	831	840	822

437	134	143	124

438	561	570	552

439	1007	1016	997

440	761	770	751

441	577	586	567

442	804	813	795

443	431	440	421

444	1053	1062	992

445	374	384	301

446	929	939	856

447	990	1000	917

448	798	854	789

449	448	457	439

450	810	819	800

451	40	49	30

452	903	912	894

453	401	410	392

454	492	501	483

455	583	592	574

456	245	254	235

457	216	225	207

458	533	542	523

459	154	163	145

460	240	249	229

461	196	205	186

462	934	925	916

463	439	430	420

464	106	96	87

465	355	364	346

466	814	805	796

467	92	82	73

468	202	211	192

469	598	606	588

470	86	95	28

471	336	345	263

472	332	341	258

473	187	196	114

474	199	258	189

475	254	262	244

476	1013	1022	1004

477	803	812	794

478	1030	1039	1021

479	806	815	796

480	550	559	541

481	648	657	638

482	914	923	905

483	693	702	683

484	33	42	24

485	390	399	380

486	149	158	140

487	678	687	668

488	1005	1062	996

489	717	788	707

490	644	707	634

491	190	261	180

492	42	113	32

493	497	568	488

494	431	502	421

495	812	883	802

496	248	319	238

497	281	346	272

498	537	608	528

499	193	264	184

500	643	713	634

501	221	292	212

502	574	645	564

503	829	900	819

504	509	580	500

505	169	240	159

506	62	133	52

507	730	801	721

508	104	174	94

509	1028	27	1019

510	375	439	365

511	155	226	145

512	887	958	878

513	538	608	528

514	779	846	770

515	145	154	136

516	792	801	783

517	689	698	679

518	872	881	862

519	195	204	133

520	704	714	631

521	392	402	319

522	903	912	830

523	624	634	552

524	407	416	397

525	501	510	491

526	783	792	774

527	114	123	105

528	717	726	708

529	962	971	953

530	751	760	741

531	338	347	328

532	782	791	773

533	963	972	953

534	940	949	931

535	16	25	7

536	309	318	300

537	804	813	794

538	198	207	188

539	129	138	120

540	608	620	598

541	481	490	472

542	329	338	320

543	899	908	890

544	891	900	881

545	242	251	232

546	430	439	420

547	494	503	485

548	1003	1012	994

549	216	225	207

550	299	308	289

551	736	745	726

552	392	401	382

553	952	961	942

554	788	797	779

555	137	146	127

556	47	56	38

557	356	365	346

558	232	241	223

559	563	572	554

560	342	351	333

561	859	868	850

562	714	723	705

563	853	862	844

564	932	941	922

565	206	215	197

566	64	73	55

567	280	289	271

568	880	889	871

569	137	127	118

570	514	523	504

571	692	701	682

572	659	668	650

573	137	146	128

574	837	846	828

575	361	370	351

576	98	107	88

577	911	919	901

578	1057	1048	1038

579	974	964	955

580	619	610	600

581	193	184	174

582	236	227	217

583	704	695	686

584	876	866	857

585	1001	992	983

586	412	402	393

587	484	474	465

588	108	98	89

589	314	305	295

590	1066	1057	1047

591	252	243	233

592	854	844	835

593	85	75	66

594	339	330	321

595	34	24	15

596	999	990	981

597	191	182	172

598	691	681	672

599	913	904	894

600	42	29	19

601	203	194	185

602	183	174	109

603	688	679	606

604	395	385	312

605	525	466	457

606	292	255	245

607	138	67	58

608	844	773	764

609	316	245	235

610	456	386	376

611	955	885	875

612	199	131	122

613	545	475	465

614	292	221	212

615	491	420	410

616	759	689	679

617	301	230	221

618	250	179	170

619	236	165	156

620	162	91	81

621	632	561	551

622	205	196	186

623	341	331	322

624	419	409	400

625	412	403	393

626	462	452	443

627	395	386	376

628	574	584	509

629	225	235	154

630	1001	1011	928

631	40	50	998

632	823	832	751

633	571	581	515

634	125	134	115

635	1049	1058	1039

636	570	579	560

637	992	1001	983

638	114	123	104

639	889	898	880

640	952	961	942

641	1048	1057	1039

642	731	740	722

643	78	87	69

644	820	829	811

645	572	581	562

646	580	589	570

647	363	372	354

648	1055	1064	1046

649	237	246	228

650	813	822	803

651	386	395	377

652	408	399	389

653	956	965	946

654	449	458	440

655	605	614	595

656	243	251	233

657	601	610	591

658	687	695	677

659	860	869	850

660	978	987	968

661	514	523	504

662	291	300	282

663	438	447	428

664	688	697	679

665	390	399	380

666	114	123	104

667	624	633	615

668	567	576	557

669	590	599	580

670	283	292	274

671	129	138	120

672	1027	1036	1017

673	133	142	123

674	385	394	376

675	699	708	690

676	208	217	199

677	932	941	922

678	999	1008	989

679	1038	1047	1028

680	509	518	499

681	859	868	850

682	38	47	29

683	471	480	462

684	780	789	771

685	1048	1038	1029

686	727	718	708

687	879	870	861

688	696	687	678

689	259	250	240

690	928	919	909

691	225	216	207

692	861	852	842

693	564	554	545

694	846	855	836

695	158	167	148

696	358	348	339

697	957	966	888

698	746	757	674

699	207	217	134

700	477	487	405

701	770	780	699

702	51	61	1005

703	629	639	557

704	849	859	776

705	623	633	550

706	252	261	242

707	123	132	114

708	930	939	921

709	293	302	283

710	700	709	690

711	287	296	278

712	135	126	116

713	959	950	940

714	720	710	701

715	82	73	63

716	16	6	1055

717	546	555	536

718	999	1008	990

719	189	198	179

720	901	909	891

721	387	396	378

722	556	565	547

723	726	735	716

724	923	932	913

725	458	467	449

726	285	294	276

727	640	649	631

728	842	833	823

729	1013	1003	994

730	771	762	752

731	699	689	680

732	810	867	801

733	279	350	270

734	523	594	513

735	481	552	471

736	339	410	329

737	830	891	820

738	312	321	303

739	820	829	811

740	591	600	581

741	596	605	587

742	90	99	81

743	423	432	413

744	997	1007	938

745	99	108	26

746	476	486	403

747	357	366	347

748	595	604	585

749	348	356	338

750	524	533	514

751	897	887	878

752	662	671	653

753	974	983	965

754	683	692	673

755	407	416	397

756	18	27	9

757	299	308	289

758	749	758	740

759	558	567	548

760	98	107	89

761	312	321	303

762	1024	1033	1014

763	862	871	853

764	395	404	386

765	580	570	561

766	1056	1046	1037

767	628	619	610

768	167	157	148

769	942	933	924

770	494	503	485

771	120	128	110

772	544	553	534

773	7	17	1054

774	954	963	942

775	484	493	475

776	381	390	371

777	415	424	405

778	952	961	942

779	921	930	911

780	1042	1051	1032

781	691	746	681

782	897	968	888

783	251	322	241

784	303	370	293

785	553	562	544

786	575	584	566

787	275	284	265

788	651	660	641

789	497	488	478

790	548	539	529

791	853	844	834

792	608	599	590

793	83	74	64

794	859	850	841

795	799	808	790

796	339	348	330

797	462	471	453

798	177	186	168

799	292	282	273

800	855	846	836

801	706	697	687

802	317	308	298

803	208	198	189

804	198	189	179

805	917	908	899

806	341	332	322

807	426	417	408

808	711	702	693

809	945	936	926

810	904	930	1987

811	274	265	255

812	234	225	215

813	145	136	126

814	827	818	808

815	638	629	619

816	958	949	939

817	792	783	773

818	991	1000	982

819	959	968	950

820	522	531	513

821	396	405	387

822	222	231	212

823	902	911	893

824	136	145	126

825	694	703	685

826	88	97	79

827	839	848	830

828	448	457	439

829	745	754	736

830	119	128	109

831	291	300	282

832	72	81	63

833	167	176	157

834	92	101	82

835	877	886	868

836	439	448	429

837	352	361	342

838	432	441	423

839	52	61	43

840	499	508	489

841	807	816	797

842	1060	6	1051

843	916	925	907

844	266	275	256

845	748	757	738

846	285	294	275

847	154	163	144

848	981	971	962

849	685	675	666

850	210	201	191

851	908	898	889

852	540	549	531

853	793	784	774

854	522	513	503

855	7	1062	1052

856	795	785	776

857	92	82	73

858	825	816	806

859	517	507	498

860	526	517	507

861	96	87	77

862	308	299	289

863	748	738	729

864	348	339	330

